data,country,holiday_name,is_bank,,,,,,,,
1/1/2024,egypt,New Year's Day,1,,,,,,,,
1/6/2024,egypt,Orthodox Christmas Eve,0,,,,,,,,
1/7/2024,egypt,Orthodox Christmas Day,1,,,,,,,,
1/25/2024,egypt,Revolution Day January 25,1,,,,,,,,
3/20/2024,egypt,March Equinox,0,,,,,,,,
4/9/2024,egypt,Festival of Breaking the Fast Eve,1,,,,,,,,
4/10/2024,egypt,Festival of Breaking the Fast,1,,,,,,,,
4/11/2024,egypt,Second Day of the Festival of Breaking the Fast,1,,,,,,,,
4/12/2024,egypt,Third Day of the Festival of Breaking the Fast,1,,,,,,,,
4/13/2024,egypt,Fourth Day of the Festival of Breaking the Fast,1,,,,,,,,
4/14/2024,egypt,Fifth Day of the Festival of Breaking the Fast,1,,,,,,,,
4/15/2024,egypt,Sinai Liberation Day,1,,,,,,,,
5/1/2024,egypt,Labor Day,0,,,,,,,,
5/5/2024,egypt,Orthodox Easter,1,,,,,,,,
5/6/2024,egypt,Spring Festival,1,,,,,,,,
6/15/2024,egypt,Arafat Day,0,,,,,,,,
6/16/2024,egypt,Feast of the Sacrifice,0,,,,,,,,
6/17/2024,egypt,Second Day of the Feast of the Sacrifice,1,,,,,,,,
6/18/2024,egypt,Third Day of the Feast of the Sacrifice,0,,,,,,,,
6/19/2024,egypt,Fourth Day of the Feast of the Sacrifice,0,,,,,,,,
6/20/2024,egypt,Fifth Day of the Feast of the Sacrifice,0,,,,,,,,
6/20/2024,egypt,June Solstice,0,,,,,,,,
6/30/2024,egypt,Revolution Day June 30,0,,,,,,,,
7/4/2024,egypt,Revolution Day June 30 (Observed),0,,,,,,,,
7/11/2024,egypt,Islamic New Year's Day,1,,,,,,,,
7/23/2024,egypt,Revolution Day July 23,0,,,,,,,,
9/15/2024,egypt,Birth of the Prophet,0,,,,,,,,
9/22/2024,egypt,September Equinox,0,,,,,,,,
10/8/2024,egypt,Armed Forces Day,0,,,,,,,,
10/10/2024,egypt,Armed Forces Day (Observed),0,,,,,,,,
12/21/2024,egypt,December Solstice,0,,,,,,,,
12/31/2024,egypt,New Year's Eve,0,,,,,,,,
1/1/2024,algeria,New Year's Day,0,,,,,,,,
1/12/2024,algeria,Amazigh New Year's Day,1,,,,,,,,
2/22/2024,algeria,Fraternity and Cohesion Day,1,,,,,,,,
3/20/2024,algeria,Festival of Breaking the Fast,0,,,,,,,,
4/10/2024,algeria,March Equinox,0,,,,,,,,
5/1/2024,algeria,Labor Day,0,,,,,,,,
5/26/2024,algeria,Feast of the Sacrifice,0,,,,,,,,
6/16/2024,algeria,Mother's Day,1,,,,,,,,
6/17/2024,algeria,Islamic New Year's Day,,,,,,,,,
6/20/2024,algeria,Father's Day,0,,,,,,,,
7/5/2024,algeria,June Solstice,0,,,,,,,,
7/7/2024,algeria,Ashura,0,,,,,,,,
7/16/2024,algeria,Independence Day,0,,,,,,,,
9/15/2024,algeria,Birth of the Prophet,1,,,,,,,,
9/22/2024,algeria,September Equinox,0,,,,,,,,
11/1/2024,algeria,Revolution Day,0,,,,,,,,
12/21/2024,algeria,December Solstice,1,,,,,,,,
12/31/2024,algeria,New Year's Eve,0,,,,,,,,
1/1/2024,zambia,New Year's Day,1,,,,,,,,
3/8/2024,zambia,International Women's Day,0,,,,,,,,
3/12/2024,zambia,Youth Day,1,,,,,,,,
3/20/2024,zambia,March Equinox,0,,,,,,,,
3/29/2024,zambia,Good Friday,0,,,,,,,,
3/30/2024,zambia,Holy Saturday,0,,,,,,,,
3/31/2024,zambia,Easter,0,,,,,,,,
4/1/2024,zambia,Easter Monday,0,,,,,,,,
5/1/2024,zambia,Labor Day,1,,,,,,,,
5/12/2024,zambia,Mother's Day,0,,,,,,,,
5/25/2024,zambia,Africa Day,0,,,,,,,,
6/16/2024,zambia,Father's Day,0,,,,,,,,
6/20/2024,zambia,June Solstice,0,,,,,,,,
7/1/2024,zambia,Heroes' Day,1,,,,,,,,
7/2/2024,zambia,Unity Day,0,,,,,,,,
8/5/2024,zambia,Farmers' Day,1,,,,,,,, 
9/22/2024,zambia,September Equinox,0,,,,,,,,
10/18/2024,zambia,National Prayer Day,0,,,,,,,,
10/24/2024,zambia,Independence Day,1,,,,,,,,
12/21/2024,zambia,December Solstice,0,,,,,,,,
12/24/2024,zambia,Christmas Eve,0,,,,,,,,
12/25/2024,zambia,Christmas Day,1,,,,,,,,
12/31/2024,zambia,New Year's Eve,0,,,,,,,,
1/1/2024,nigeria,New Year's Day,0,,,,,,,,
3/8/2024,nigeria,Women's Day,0,,,,,,,,
3/10/2024,nigeria,March Equinox,1,,,,,,,,
3/20/2024,nigeria,Mother's Day,0,,,,,,,,
3/29/2024,nigeria,Festival of Breaking the Fast,0,,,,,,,,
3/30/2024,nigeria,Good Friday,0,,,,,,,,
3/31/2024,nigeria,Holy Saturday,0,,,,,,,,
4/1/2024,nigeria,Easter,0,,,,,,,,
4/10/2024,nigeria,Easter Monday,0,,,,,,,,
5/1/2024,nigeria,Workers' Day,0,,,,,,,,
5/27/2024,nigeria,Children's Day,0,,,,,,,,
6/12/2024,nigeria,Feast of the Sacrifice,0,,,,,,,,
6/16/2024,nigeria,Democracy Day,0,,,,,,,,
6/17/2024,nigeria,Father's Day,0,,,,,,,,
6/20/2024,nigeria,June Solstice,0,,,,,,,,
7/8/2024,nigeria,Islamic New Year's Day,0,,,,,,,,
9/15/2024,nigeria,Birth of the Prophet,0,,,,,,,,
9/22/2024,nigeria,September Equinox,0,,,,,,,,
10/1/2024,nigeria,Independence Day,0,,,,,,,,
12/21/2024,nigeria,December Solstice,0,,,,,,,,
12/22/2024,nigeria,Sembah Memorial Day,0,,,,,,,,
12/24/2024,nigeria,Christmas Eve,0,,,,,,,,
12/25/2024,nigeria,Christmas Day,0,,,,,,,,
12/26/2024,nigeria,Boxing Day,0,,,,,,,,
12/31/2024,nigeria,New Year's Eve,0,,,,,,,,
1/1/2024,ethiopia,New Year's Day,1,,,,,,,,
1/6/2024,ethiopia,Orthodox Christmas Eve,0,,,,,,,,
1/7/2024,ethiopia,Orthodox Christmas Day,1,,,,,,,,
1/19/2024,ethiopia,Orthodox Epiphany,1,,,,,,,,
3/2/2024,ethiopia,First Day of Ramadan,0,,,,,,,,
3/10/2024,ethiopia,Victory at Adwa Day,1,,,,,,,,
3/20/2024,ethiopia,March Equinox,0,,,,,,,,
4/9/2024,ethiopia,Festival of Breaking the Fast,1,,,,,,,,
5/1/2024,ethiopia,Orthodox Good Friday,0,,,,,,,,
5/3/2024,ethiopia,Orthodox Easter,1,,,,,,,,
5/5/2024,ethiopia,International Workers' Day,0,,,,,,,,
5/5/2024,ethiopia,Ethiopian Patriots Victory Day,1,,,,,,,,
5/12/2024,ethiopia,Mother's Day,0,,,,,,,,
5/28/2024,ethiopia,Derg Downfall Day,0,,,,,,,,
6/16/2024,ethiopia,Feast of the Sacrifice,1,,,,,,,,
6/16/2024,ethiopia,Father's Day,0,,,,,,,,
6/20/2024,ethiopia,June Solstice,0,,,,,,,,
7/7/2024,ethiopia,Islamic New Year's Day,1,,,,,,,,
9/10/2024,ethiopia,Birth of the Prophet,1,,,,,,,,
9/11/2024,ethiopia,Ethiopian New Year's Eve,0,,,,,,,,
9/15/2024,ethiopia,Ethiopian New Year's Day,1,,,,,,,,
9/22/2024,ethiopia,September Equinox,0,,,,,,,,
9/27/2024,ethiopia,Finding of the True Cross,1,,,,,,,,
12/21/2024,ethiopia,December Solstice,0,,,,,,,,
12/31/2024,ethiopia,New Year's Eve,0,,,,,,,,
